Nombre,Nombre_clean,Operador,Estado,Departamento,Municipio
SOL Y CIELO V,SOL Y CIELO V,ENERGIA Y GAS DE COLOMBIA SAS ESP,Operación,CÓRDOBA,MONTERÍA
SOL Y CIELO VI,SOL Y CIELO VI,ENERGIA Y GAS DE COLOMBIA SAS ESP,Operación,CÓRDOBA,MONTERÍA
SOL Y CIELO VII,SOL Y CIELO VII,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,CÓRDOBA,TIERRALTA
SOLAR ALEJANDRIA,SOLAR ALEJANDRIA,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,Pruebas,CÓRDOBA,PLANETA RICA
SOLAR ARDOBELA I,SOLAR ARDOBELA I,ECOARDOBELA I S.A.S. E.S.P.,Operación,CAUCA,SANTANDER DE QUILICHAO
SOLAR ARDOBELA II,SOLAR ARDOBELA II,ECOARDOBELA I S.A.S. E.S.P.,Operación,CAUCA,SANTANDER DE QUILICHAO
SOLAR OLD T,SOLAR OLD T,VATIA S.A. E.S.P.,Pruebas,SUCRE,TOLÚ VIEJO
SOLAR PALMASECA I,SOLAR PALMASECA I,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,PALMIRA
SOLAR PALMASECA II,SOLAR PALMASECA II,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,PALMIRA
SOLAR PLANETA RICA,SOLAR PLANETA RICA,CELSIA COLOMBIA S.A. E.S.P.,Operación,CÓRDOBA,PLANETA RICA
SOLAR PN I,SOLAR PN I,VATIA S.A. E.S.P.,Pruebas,BOLÍVAR,ARJONA
SUNNORTE,SUNNORTE,GENERSOL S.A.S. E.S.P.,Operación,NORTE DE SANTANDER,OCAÑA
TERMOTASAJERO DOS SOLAR,TERMOTASAJERO DOS SOLAR,TERMOTASAJERO DOS S.A. E.S.P. ,Pruebas,NORTE DE SANTANDER,SAN CAYETANO
TIERRA LINDA,TIERRA LINDA,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,Pruebas,CÓRDOBA,CHINÚ
TRINA-VATIA BSLI,TRINA-VATIA BSLI,ISAGEN S.A. E.S.P.,Pruebas,META,PUERTO GAITÁN
TRINA-VATIA BSLII,TRINA-VATIA BSLII,ISAGEN S.A. E.S.P.,Pruebas,META,PUERTO GAITÁN
TRINA-VATIA BSLIII,TRINA-VATIA BSLIII,ISAGEN S.A. E.S.P.,Pruebas,META,PUERTO GAITÁN
URUACO,URUACO,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,ATLÁNTICO,LURUACO
VALLEDUPAR I,VALLEDUPAR I,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,CESAR,VALLEDUPAR
VALLEDUPAR II,VALLEDUPAR II,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,CESAR,VALLEDUPAR
VALLEDUPAR III,VALLEDUPAR III,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,CESAR,VALLEDUPAR
ZAMBRANO II,ZAMBRANO II,DEPI ENERGY S.A.S. E.S.P.,Pruebas,BOLÍVAR,ZAMBRANO
