CodigoPlanta,NombreUnidad,TipoGeneracion,FPO
NIM1,NIMA 1,Hidraulica,1942-01-01
IQU2,IQUIRA II 1,Hidraulica,2016-04-27
PPA4,PAIPA 4,Termica,1999-01-08
BSQ1,EL BOSQUE 1,Hidraulica,1935-01-01
5BPX,GD AGUSTIN I 1,Solar,2025-08-31
PSUA,PARQUE SOLAR URRA 1,Solar,2025-01-31
5FPK,GD BIOSOLAR 1,Solar,2025-09-30
2R22,LAGUNETA 1,Hidraulica,2014-11-27
4Z9Q,SOLAR ARDOBELA I 1,Solar,2025-03-31
TYP4,TERMOYOPAL G4,Termica,2020-08-31
5G3T,PARQUE SOLAR NISPEROS 1,Solar,2025-07-31
4S7K,SOL Y CIELO III 1,Solar,2025-03-07
4RG6,AUTOG CELSIA SOLAR TQ JAMUNDI 1,Solar,2025-03-26
3RH2,AUTOG HIDROSOLAR I 1,Solar,2025-02-04
2UR5,SAN JOSE DE LA MONTAÑA II 1,Hidraulica,2017-10-07
4YL2,GD GRANJA LA RUBIELA 1,Solar,2025-07-19
MRL1,MERILECTRICA 1,Termica,1998-02-05
3Q7D,AUTOG BIOS FINCA BUGA 1,Solar,2024-10-21
3NNZ,AUTOG TERMOCOROCITO 1,Termica,2024-10-29
TDR1,TERMODORADA 1,Termica,1997-08-11
CQT1,CHARQUITO 1,Hidraulica,1935-01-01
3BZB,CELSIA SOLAR LA PAILA 1,Solar,2021-08-07
TR2G,TRINA-VATIA BSLII 1,Solar,2021-01-22
3MHB,MINIGRANJA LA PAZ VALLENATA 1,Solar,2024-08-13
3NU4,GD FINCA JM 1,Solar,2024-09-16
CPT1,CAMPESTRE (CALARCA) 1,Hidraulica,2012-11-30
SNT1,SANTA ANA 1,Hidraulica,2005-06-09
4VYB,GD ERCO GUAMO I 1,Solar,2025-04-26
3JP8,GD LA URIBE 1,Solar,2024-03-14
3J4D,CAIMAN CIENAGUERO 1,Solar,2023-12-15
3HBN,TIERRA LINDA 1,Solar,2023-04-04
4XUX,GD PULOY 1,Solar,2025-09-25
TFL4,FLORES 3,Termica,1998-04-28
3EXH,PARQUE EOLICO WESP01 1,Eolica,2022-08-31
2S78,LA FRISOLERA 1,Hidraulica,2016-04-29
5FPL,GD SIRIUS 1,Solar,2025-10-31
TUJ1,TUNJITA 1,Hidraulica,2016-06-30
3NLZ,SOLAR OLD T 1,Solar,2024-10-16
4S7I,SOL Y CIELO II 1,Solar,2025-03-07
TCBE,TERMOCARIBE III 1,Termica,2024-03-21
MNC1,MUNICIPAL 1,Hidraulica,1935-01-01
3GJQ,TERMOTASAJERO DOS SOLAR 1,Solar,2022-12-26
3PK3,AUTOG MILPA SAN CARLOS 1,Solar,2024-09-29
4Z9S,SOLAR ARDOBELA II 1,Solar,2025-03-31
RNG1,RIONEGRO 1,Hidraulica,1975-01-01
TMS1,RIOFRIO (TAMESIS) 1,Hidraulica,1951-01-01
SJOG,SAN JOSE 1,Hidraulica,1975-01-01
4YKB,SOLAR PN I 1,Solar,2024-12-31
CUR1,CURRUCUCUES 1,Hidraulica,2010-08-18
4ZIO,GD BLANCA ENERGY I 1,Solar,2025-08-17
3IRX,PORTON DEL SOL 1,Solar,2024-03-08
